2021-01-13 02:56:16,208 INFO  ExportHelperExtension.cs: 1136 - Found 87 in base_link-1
2021-01-13 02:56:16,209 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in base_link-1
2021-01-13 02:56:16,210 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from IntelRealsense_D435_Multibody-1
2021-01-13 02:56:16,211 INFO  ExportHelperExtension.cs: 1136 - Found 93 in IntelRealsense_D435_Multibody-1
2021-01-13 02:56:16,211 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in IntelRealsense_D435_Multibody-1
2021-01-13 02:56:16,212 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from motor wheel-2
2021-01-13 02:56:16,212 INFO  ExportHelperExtension.cs: 1136 - Found 37 in motor wheel-2
2021-01-13 02:56:16,213 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in motor wheel-2
2021-01-13 02:56:16,213 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from PCB, MPU-9255-1
2021-01-13 02:56:16,213 INFO  ExportHelperExtension.cs: 1136 - Found 36 in PCB, MPU-9255-1
2021-01-13 02:56:16,214 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in PCB, MPU-9255-1
2021-01-13 02:56:16,288 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 03:00:03,290 INFO  AssemblyExportForm.cs: 253 - Completing URDF export
2021-01-13 03:00:03,296 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
